username,url,rating,track,Develop Skill,Design Skill,Data Science Skill,Copilot,Work Company 1,Work Industory 1,Work Position 1,Work cityTown 1,Work Status 1,Work Company 2,Work Industory 2,Work Position 2,Work cityTown 2,Work Status 2,Work Company 3,Work Industory 3,Work Position 3,Work cityTown 3,Work Status 3,Education Major 1,Education School 1,Education Gratuated 1,Education Major 2,Education School 2,Education Gratuated 2,Education Major 3,Education School 3,Education Gratuated 3
susu_susi,https://www.topcoder.com/members/susu_susi,0,,challenges: 0 challenges: 0,challenges: 0 challenges: 0,challenges: 0 challenges: 0,,,,,,,,,,,,,,,,,,,,,,,,,
JonyStorm,https://www.topcoder.com/members/JonyStorm,1346,DEVELOP,challenges: 266 challenges: 0,challenges: 25 challenges: 0,challenges: 0 challenges: 0,,Topcoder,Tech & technology services,"data science, machine learning, fullstack developer",,True,,,,,,,,,,,,,,,,,,,
kasiger,https://www.topcoder.com/members/kasiger,1339,DEVELOP,challenges: 60 challenges: 0,challenges: 783 challenges: 13,challenges: 0 challenges: 0,,,,,,,,,,,,,,,,,,,,,,,,,
paijeem,https://www.topcoder.com/members/paijeem,960,DEVELOP,challenges: 42 challenges: 0,challenges: 24 challenges: 0,challenges: 0 challenges: 0,,,,,,,,,,,,,,,,,,,,,,,,,
degraphic,https://www.topcoder.com/members/degraphic,732,DEVELOP,challenges: 384 challenges: 3,challenges: 213 challenges: 0,challenges: 0 challenges: 0,,DWC (Distributed Web Company),Tech & technology services,Frontend Dev and UI Designer,,,Alternative Media,Tech & technology services,Frontend Developer,,,Agensip Creative Agency ,Tech & technology services,UI Designer,,,,,,,,,,,
wahyu.ts,https://www.topcoder.com/members/wahyu.ts,1302,DEVELOP,challenges: 24 challenges: 1,challenges: 193 challenges: 27,challenges: 0 challenges: 0,,Angkuts Indonesia,Public sector,Designer (UI/UX/IxD/Graphic),,,SG Studio,Tech & technology services,Designer (UI/UX),,,Barkahlabs,Tech & technology services,Co-Founder,,,,,,,,,,,
imanabdulm,https://www.topcoder.com/members/imanabdulm,0,,challenges: 0 challenges: 0,challenges: 2 challenges: 0,challenges: 0 challenges: 0,,Tokoweb.id,Tech & technology services,UI/UX Design,,,,,,,,,,,,,,,,,,,,,
5y5,https://www.topcoder.com/members/5y5,0,,challenges: 23 challenges: 0,challenges: 820 challenges: 106,challenges: 0 challenges: 0,,,,,,,,,,,,,,,,,,,,,,,,,
shubhangi18,https://www.topcoder.com/members/shubhangi18,0,,challenges: 319 challenges: 0,challenges: 28 challenges: 0,challenges: 0 challenges: 0,,,,,,,,,,,,,,,,,,,,,,,,,
billsedison,https://www.topcoder.com/members/billsedison,1625,DEVELOP,challenges: 1206 challenges: 551,challenges: 19 challenges: 10,challenges: 11 challenges: 0,contests: 1384  projects: 68  failures: 32  reposts: 6  activeContests: 1  activeProjects: 1  fulfillment: 97.69,Netease,Game Development,Sr Software Developer,Hangzhou,True,,,,,,,,,,,,,,,,,,,
kiwams,https://www.topcoder.com/members/kiwams,1570,DEVELOP,challenges: 166 challenges: 1,challenges: 49 challenges: 0,challenges: 0 challenges: 0,,A.T Trading,Tech & technology services,Fullstack developer,Accra,True,Global Start-up Ecosystem,Finace,Web Developer,Remote,False,Holy Family Nursing Training College,Education,Teaching Assistant,Berekum,False,,,,,,,,,
shatcode0816,https://www.topcoder.com/members/shatcode0816,0,,challenges: 0 challenges: 0,challenges: 0 challenges: 0,challenges: 0 challenges: 0,,,,,,,,,,,,,,,,,,,,,,,,,
